month,subdivison,line,day_type,reporting_category,subcategory,delays
2023-06,A DIVISION,2,1,External Factors,External Debris on Roadbed,26
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Braking,7
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Door-Related,12
2023-06,A DIVISION,2,1,Infrastructure & Equipment,"Fire, Smoke, Debris",48
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Other - CE,19
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Other Infrastructure,6
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Other Internal Disruptions,5
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Other - Sig,120
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Propulsion,29
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Rail and Roadbed,70
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Service Delivery,41
2023-06,A DIVISION,2,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,12
2023-06,A DIVISION,2,1,Operating Conditions,,220
2023-06,A DIVISION,2,1,Planned ROW Work,Subways Maintenance,180
2023-06,A DIVISION,2,1,Planned ROW Work,Work Equipment,13
2023-06,A DIVISION,2,1,Police & Medical,Persons on Roadbed,80
2023-06,A DIVISION,2,1,Police & Medical,"Public Conduct, Crime, Police Response",139
2023-06,A DIVISION,2,1,Police & Medical,Sick/Injured Customer,55
2023-06,A DIVISION,2,2,Crew Availability,Crew Availability,24
2023-06,A DIVISION,2,2,Infrastructure & Equipment,"Fire, Smoke, Debris",19
2023-06,A DIVISION,2,2,Infrastructure & Equipment,Other - CE,3
2023-06,A DIVISION,2,2,Infrastructure & Equipment,Other - Sig,56
2023-06,A DIVISION,2,2,Infrastructure & Equipment,Rail and Roadbed,20
2023-06,A DIVISION,2,2,Infrastructure & Equipment,Service Delivery,15
2023-06,A DIVISION,2,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,14
2023-06,A DIVISION,2,2,Operating Conditions,,311
2023-06,A DIVISION,2,2,Planned ROW Work,Capital Work - Other Planned ROW,4
2023-06,A DIVISION,2,2,Planned ROW Work,Subways Maintenance,41
2023-06,A DIVISION,2,2,Police & Medical,"Public Conduct, Crime, Police Response",43
2023-06,A DIVISION,2,2,Police & Medical,Sick/Injured Customer,14
2023-06,A DIVISION,3,1,Crew Availability,Crew Availability,98
2023-06,A DIVISION,3,1,External Factors,External Debris on Roadbed,40
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Braking,7
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Door-Related,2
2023-06,A DIVISION,3,1,Infrastructure & Equipment,"Fire, Smoke, Debris",26
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Other - CE,19
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Other Infrastructure,2
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Other - Sig,74
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Propulsion,12
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Rail and Roadbed,27
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Service Delivery,30
2023-06,A DIVISION,3,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,7
2023-06,A DIVISION,3,1,Operating Conditions,,88
2023-06,A DIVISION,3,1,Planned ROW Work,Subways Maintenance,21
2023-06,A DIVISION,3,1,Planned ROW Work,Work Equipment,5
2023-06,A DIVISION,3,1,Police & Medical,Persons on Roadbed,57
2023-06,A DIVISION,3,1,Police & Medical,"Public Conduct, Crime, Police Response",130
2023-06,A DIVISION,3,1,Police & Medical,Sick/Injured Customer,35
2023-06,A DIVISION,3,2,Crew Availability,Crew Availability,36
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Braking,4
2023-06,A DIVISION,3,2,Infrastructure & Equipment,"Fire, Smoke, Debris",19
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Other Infrastructure,1
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Other - Sig,22
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Rail and Roadbed,1
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Service Delivery,5
2023-06,A DIVISION,3,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,13
2023-06,A DIVISION,3,2,Operating Conditions,,136
2023-06,A DIVISION,3,2,Planned ROW Work,Subways Maintenance,20
2023-06,A DIVISION,3,2,Police & Medical,Persons on Roadbed,4
2023-06,A DIVISION,3,2,Police & Medical,"Public Conduct, Crime, Police Response",31
2023-06,A DIVISION,3,2,Police & Medical,Sick/Injured Customer,9
2023-06,A DIVISION,4,1,Crew Availability,Crew Availability,99
2023-06,A DIVISION,4,1,External Factors,External Debris on Roadbed,5
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Braking,11
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Door-Related,19
2023-06,A DIVISION,4,1,Infrastructure & Equipment,"Fire, Smoke, Debris",20
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Other - CE,14
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Other Infrastructure,7
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Other Internal Disruptions,1
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Other - Sig,102
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Rail and Roadbed,33
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Service Delivery,41
2023-06,A DIVISION,4,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,15
2023-06,A DIVISION,4,1,Operating Conditions,,137
2023-06,A DIVISION,4,1,Planned ROW Work,Subways Maintenance,90
2023-06,A DIVISION,4,1,Planned ROW Work,Work Equipment,6
2023-06,A DIVISION,4,1,Police & Medical,Persons on Roadbed,64
2023-06,A DIVISION,4,1,Police & Medical,"Public Conduct, Crime, Police Response",236
2023-06,A DIVISION,4,1,Police & Medical,Sick/Injured Customer,99
2023-06,A DIVISION,4,2,Crew Availability,Crew Availability,17
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Braking,10
2023-06,A DIVISION,4,2,Infrastructure & Equipment,"Fire, Smoke, Debris",3
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Other - CE,3
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Other - Sig,86
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Propulsion,4
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Rail and Roadbed,8
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Service Delivery,5
2023-06,A DIVISION,4,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,7
2023-06,A DIVISION,4,2,Operating Conditions,,176
2023-06,A DIVISION,4,2,Planned ROW Work,Capital Work - Other Planned ROW,23
2023-06,A DIVISION,4,2,Planned ROW Work,Other Planned ROW Work,2
2023-06,A DIVISION,4,2,Planned ROW Work,Subways Maintenance,31
2023-06,A DIVISION,4,2,Police & Medical,Persons on Roadbed,15
2023-06,A DIVISION,4,2,Police & Medical,"Public Conduct, Crime, Police Response",79
2023-06,A DIVISION,4,2,Police & Medical,Sick/Injured Customer,16
2023-06,A DIVISION,5,1,Crew Availability,Crew Availability,46
2023-06,A DIVISION,5,1,External Factors,External Debris on Roadbed,2
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Braking,9
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Door-Related,16
2023-06,A DIVISION,5,1,Infrastructure & Equipment,"Fire, Smoke, Debris",20
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Other - CE,10
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Other Infrastructure,3
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Other Internal Disruptions,2
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Other - Sig,197
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Propulsion,28
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Rail and Roadbed,43
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Service Delivery,48
2023-06,A DIVISION,5,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,18
2023-06,A DIVISION,5,1,Operating Conditions,,174
2023-06,A DIVISION,5,1,Planned ROW Work,Subways Maintenance,27
2023-06,A DIVISION,5,1,Police & Medical,Persons on Roadbed,66
2023-06,A DIVISION,5,1,Police & Medical,"Public Conduct, Crime, Police Response",144
2023-06,A DIVISION,5,1,Police & Medical,Sick/Injured Customer,80
2023-06,A DIVISION,5,2,Crew Availability,Crew Availability,6
2023-06,A DIVISION,5,2,External Factors,External Debris on Roadbed,1
2023-06,A DIVISION,5,2,Infrastructure & Equipment,Braking,1
2023-06,A DIVISION,5,2,Infrastructure & Equipment,Other - CE,2
2023-06,A DIVISION,5,2,Infrastructure & Equipment,Other - Sig,30
2023-06,A DIVISION,5,2,Infrastructure & Equipment,Service Delivery,4
2023-06,A DIVISION,5,2,Operating Conditions,,94
2023-06,A DIVISION,5,2,Planned ROW Work,Capital Work - Other Planned ROW,10
2023-06,A DIVISION,5,2,Planned ROW Work,Subways Maintenance,10
2023-06,A DIVISION,5,2,Police & Medical,Persons on Roadbed,6
2023-06,A DIVISION,5,2,Police & Medical,"Public Conduct, Crime, Police Response",43
2023-06,A DIVISION,5,2,Police & Medical,Sick/Injured Customer,11
2023-06,A DIVISION,6,1,Crew Availability,Crew Availability,87
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Braking,19
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Door-Related,16
2023-06,A DIVISION,6,1,Infrastructure & Equipment,"Fire, Smoke, Debris",7
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Other - CE,38
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Other Infrastructure,1
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Other Internal Disruptions,2
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Other - Sig,142
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Propulsion,8
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Rail and Roadbed,16
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Service Delivery,38
2023-06,A DIVISION,6,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,24
2023-06,A DIVISION,6,1,Operating Conditions,,399
2023-06,A DIVISION,6,1,Planned ROW Work,Capital Work - Other Planned ROW,39
2023-06,A DIVISION,6,1,Planned ROW Work,Subways Maintenance,281
2023-06,A DIVISION,6,1,Planned ROW Work,Work Equipment,22
2023-06,A DIVISION,6,1,Police & Medical,Persons on Roadbed,19
2023-06,A DIVISION,6,1,Police & Medical,"Public Conduct, Crime, Police Response",363
2023-06,A DIVISION,6,1,Police & Medical,Sick/Injured Customer,98
2023-06,A DIVISION,6,2,Crew Availability,Crew Availability,21
2023-06,A DIVISION,6,2,External Factors,External Debris on Roadbed,1
2023-06,A DIVISION,6,2,Infrastructure & Equipment,Other - Sig,27
2023-06,A DIVISION,6,2,Infrastructure & Equipment,Propulsion,1
2023-06,A DIVISION,6,2,Infrastructure & Equipment,Rail and Roadbed,10
2023-06,A DIVISION,6,2,Infrastructure & Equipment,Service Delivery,7
2023-06,A DIVISION,6,2,Operating Conditions,,99
2023-06,A DIVISION,6,2,Planned ROW Work,Subways Maintenance,99
2023-06,A DIVISION,6,2,Police & Medical,"Public Conduct, Crime, Police Response",102
2023-06,A DIVISION,6,2,Police & Medical,Sick/Injured Customer,36
2023-06,A DIVISION,7,1,Crew Availability,Crew Availability,115
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Door-Related,1
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Other - CE,1
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Other Infrastructure,44
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Other - Sig,158
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Rail and Roadbed,118
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Service Delivery,60
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Signal Modernization Capital Project,15
2023-06,A DIVISION,7,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,46
2023-06,A DIVISION,7,1,Operating Conditions,,25
2023-06,A DIVISION,7,1,Planned ROW Work,Insufficient Supplement Schedule,6
2023-06,A DIVISION,7,1,Planned ROW Work,Subways Maintenance,103
2023-06,A DIVISION,7,1,Planned ROW Work,Work Equipment,2
2023-06,A DIVISION,7,1,Police & Medical,"Public Conduct, Crime, Police Response",287
2023-06,A DIVISION,7,1,Police & Medical,Sick/Injured Customer,134
2023-06,A DIVISION,7,2,Crew Availability,Crew Availability,14
2023-06,A DIVISION,7,2,Infrastructure & Equipment,Other Infrastructure,19
2023-06,A DIVISION,7,2,Infrastructure & Equipment,Other Internal Disruptions,2
2023-06,A DIVISION,7,2,Infrastructure & Equipment,Other - Sig,41
2023-06,A DIVISION,7,2,Infrastructure & Equipment,Service Delivery,6
2023-06,A DIVISION,7,2,Operating Conditions,,11
2023-06,A DIVISION,7,2,Planned ROW Work,Capital Work - Other Planned ROW,47
2023-06,A DIVISION,7,2,Planned ROW Work,Insufficient Supplement Schedule,4
2023-06,A DIVISION,7,2,Planned ROW Work,Subways Maintenance,39
2023-06,A DIVISION,7,2,Planned ROW Work,Work Equipment,9
2023-06,A DIVISION,7,2,Police & Medical,Persons on Roadbed,38
2023-06,A DIVISION,7,2,Police & Medical,"Public Conduct, Crime, Police Response",88
2023-06,A DIVISION,7,2,Police & Medical,Sick/Injured Customer,31
2023-06,B DIVISION,A,1,Crew Availability,Crew Availability,206
2023-06,B DIVISION,A,1,External Factors,External Agency or Utility,78
2023-06,B DIVISION,A,1,External Factors,External Debris on Roadbed,3
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Braking,39
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Door-Related,56
2023-06,B DIVISION,A,1,Infrastructure & Equipment,"Fire, Smoke, Debris",52
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Other - CE,81
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Other Infrastructure,12
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Other Internal Disruptions,16
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Other - Sig,248
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Propulsion,44
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Rail and Roadbed,42
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Service Delivery,70
2023-06,B DIVISION,A,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,31
2023-06,B DIVISION,A,1,Operating Conditions,,301
2023-06,B DIVISION,A,1,Planned ROW Work,Capital Work - Other Planned ROW,3
2023-06,B DIVISION,A,1,Planned ROW Work,Other Planned ROW Work,1
2023-06,B DIVISION,A,1,Planned ROW Work,Subways Maintenance,551
2023-06,B DIVISION,A,1,Planned ROW Work,Work Equipment,34
2023-06,B DIVISION,A,1,Police & Medical,Persons on Roadbed,1
2023-06,B DIVISION,A,1,Police & Medical,"Public Conduct, Crime, Police Response",163
2023-06,B DIVISION,A,1,Police & Medical,Sick/Injured Customer,39
2023-06,B DIVISION,A,2,Crew Availability,Crew Availability,79
2023-06,B DIVISION,A,2,External Factors,External Agency or Utility,45
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Braking,16
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Door-Related,3
2023-06,B DIVISION,A,2,Infrastructure & Equipment,"Fire, Smoke, Debris",100
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Other - CE,8
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Other Infrastructure,1
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Other - Sig,28
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Rail and Roadbed,9
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Service Delivery,2
2023-06,B DIVISION,A,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,3
2023-06,B DIVISION,A,2,Operating Conditions,,180
2023-06,B DIVISION,A,2,Planned ROW Work,Capital Work - Other Planned ROW,63
2023-06,B DIVISION,A,2,Planned ROW Work,Subways Maintenance,187
2023-06,B DIVISION,A,2,Police & Medical,Persons on Roadbed,4
2023-06,B DIVISION,A,2,Police & Medical,"Public Conduct, Crime, Police Response",37
2023-06,B DIVISION,A,2,Police & Medical,Sick/Injured Customer,8
2023-06,B DIVISION,B,1,Crew Availability,Crew Availability,215
2023-06,B DIVISION,B,1,External Factors,External Debris on Roadbed,5
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Braking,2
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Door-Related,25
2023-06,B DIVISION,B,1,Infrastructure & Equipment,"Fire, Smoke, Debris",41
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Other - CE,11
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Other Infrastructure,4
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Other Internal Disruptions,8
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Other - Sig,113
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Propulsion,6
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Rail and Roadbed,14
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Service Delivery,16
2023-06,B DIVISION,B,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,50
2023-06,B DIVISION,B,1,Operating Conditions,,241
2023-06,B DIVISION,B,1,Planned ROW Work,Subways Maintenance,61
2023-06,B DIVISION,B,1,Planned ROW Work,Work Equipment,17
2023-06,B DIVISION,B,1,Police & Medical,Persons on Roadbed,26
2023-06,B DIVISION,B,1,Police & Medical,"Public Conduct, Crime, Police Response",106
2023-06,B DIVISION,B,1,Police & Medical,Sick/Injured Customer,46
2023-06,B DIVISION,C,1,Crew Availability,Crew Availability,182
2023-06,B DIVISION,C,1,External Factors,External Agency or Utility,4
2023-06,B DIVISION,C,1,External Factors,External Debris on Roadbed,5
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Braking,15
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Door-Related,39
2023-06,B DIVISION,C,1,Infrastructure & Equipment,"Fire, Smoke, Debris",26
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Other - CE,38
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Other Infrastructure,11
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Other Internal Disruptions,1
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Other - Sig,151
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Propulsion,9
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Rail and Roadbed,3
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Service Delivery,32
2023-06,B DIVISION,C,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,6
2023-06,B DIVISION,C,1,Operating Conditions,,254
2023-06,B DIVISION,C,1,Planned ROW Work,Capital Work - Other Planned ROW,44
2023-06,B DIVISION,C,1,Planned ROW Work,Subways Maintenance,59
2023-06,B DIVISION,C,1,Planned ROW Work,Work Equipment,5
2023-06,B DIVISION,C,1,Police & Medical,Persons on Roadbed,6
2023-06,B DIVISION,C,1,Police & Medical,"Public Conduct, Crime, Police Response",119
2023-06,B DIVISION,C,1,Police & Medical,Sick/Injured Customer,14
2023-06,B DIVISION,C,2,Crew Availability,Crew Availability,89
2023-06,B DIVISION,C,2,Infrastructure & Equipment,Braking,15
2023-06,B DIVISION,C,2,Infrastructure & Equipment,Door-Related,12
2023-06,B DIVISION,C,2,Infrastructure & Equipment,"Fire, Smoke, Debris",34
2023-06,B DIVISION,C,2,Infrastructure & Equipment,Service Delivery,6
2023-06,B DIVISION,C,2,Operating Conditions,,109
2023-06,B DIVISION,C,2,Planned ROW Work,Capital Work - Other Planned ROW,71
2023-06,B DIVISION,C,2,Planned ROW Work,Subways Maintenance,54
2023-06,B DIVISION,C,2,Police & Medical,"Public Conduct, Crime, Police Response",21
2023-06,B DIVISION,C,2,Police & Medical,Sick/Injured Customer,3
2023-06,B DIVISION,D,1,Crew Availability,Crew Availability,260
2023-06,B DIVISION,D,1,External Factors,External Debris on Roadbed,5
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Braking,4
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Door-Related,22
2023-06,B DIVISION,D,1,Infrastructure & Equipment,"Fire, Smoke, Debris",27
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Other - CE,7
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Other Infrastructure,7
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Other Internal Disruptions,6
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Other - Sig,140
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Propulsion,13
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Rail and Roadbed,43
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Service Delivery,29
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Signal Modernization Capital Project,4
2023-06,B DIVISION,D,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,81
2023-06,B DIVISION,D,1,Operating Conditions,,397
2023-06,B DIVISION,D,1,Planned ROW Work,Insufficient Supplement Schedule,48
2023-06,B DIVISION,D,1,Planned ROW Work,Subways Maintenance,364
2023-06,B DIVISION,D,1,Planned ROW Work,Work Equipment,19
2023-06,B DIVISION,D,1,Police & Medical,Persons on Roadbed,5
2023-06,B DIVISION,D,1,Police & Medical,"Public Conduct, Crime, Police Response",276
2023-06,B DIVISION,D,1,Police & Medical,Sick/Injured Customer,58
2023-06,B DIVISION,D,2,Crew Availability,Crew Availability,100
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Braking,1
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Door-Related,3
2023-06,B DIVISION,D,2,Infrastructure & Equipment,"Fire, Smoke, Debris",3
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Other - CE,2
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Other - Sig,2
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Propulsion,3
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Rail and Roadbed,2
2023-06,B DIVISION,D,2,Infrastructure & Equipment,Service Delivery,6
2023-06,B DIVISION,D,2,Operating Conditions,,49
2023-06,B DIVISION,D,2,Planned ROW Work,Capital Work - Other Planned ROW,1
2023-06,B DIVISION,D,2,Planned ROW Work,Subways Maintenance,130
2023-06,B DIVISION,D,2,Police & Medical,Persons on Roadbed,8
2023-06,B DIVISION,D,2,Police & Medical,"Public Conduct, Crime, Police Response",50
2023-06,B DIVISION,D,2,Police & Medical,Sick/Injured Customer,1
2023-06,B DIVISION,E,1,Crew Availability,Crew Availability,190
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Braking,2
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Door-Related,33
2023-06,B DIVISION,E,1,Infrastructure & Equipment,"Fire, Smoke, Debris",6
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Other - CE,15
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Other Infrastructure,101
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Other Internal Disruptions,6
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Other - Sig,187
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Propulsion,34
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Rail and Roadbed,35
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Service Delivery,29
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Signal Modernization Capital Project,193
2023-06,B DIVISION,E,1,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,6
2023-06,B DIVISION,E,1,Operating Conditions,,439
2023-06,B DIVISION,E,1,Planned ROW Work,Capital Work - Other Planned ROW,110
2023-06,B DIVISION,E,1,Planned ROW Work,Subways Maintenance,675
2023-06,B DIVISION,E,1,Planned ROW Work,Work Equipment,54
2023-06,B DIVISION,E,1,Police & Medical,Persons on Roadbed,30
2023-06,B DIVISION,E,1,Police & Medical,"Public Conduct, Crime, Police Response",149
2023-06,B DIVISION,E,1,Police & Medical,Sick/Injured Customer,43
2023-06,B DIVISION,E,2,Crew Availability,Crew Availability,85
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Braking,2
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Other - Sig,11
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Propulsion,1
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Rail and Roadbed,1
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Service Delivery,4
2023-06,B DIVISION,E,2,Infrastructure & Equipment,Signal Modernization Capital Project,8
2023-06,B DIVISION,E,2,Operating Conditions,,63
2023-06,B DIVISION,E,2,Planned ROW Work,Capital Work - Other Planned ROW,45
2023-06,B DIVISION,E,2,Planned ROW Work,Subways Maintenance,121
2023-06,B DIVISION,E,2,Police & Medical,Persons on Roadbed,12
2023-06,B DIVISION,E,2,Police & Medical,"Public Conduct, Crime, Police Response",15
2023-06,B DIVISION,E,2,Police & Medical,Sick/Injured Customer,1
2023-06,B DIVISION,F,1,Crew Availability,Crew Availability,287
